index,State,Measure,Category,Subcategory,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
0,All states,PerceptionRisk,Age,18-24,3.9014084507042255,4.024390243902439,3.757575757575758,4.088235294117647,4.296296296296297,4.0,3.4,3.1363636363636362,2.5294117647058822,2.4,2.5454545454545454,3.2
1,All states,PerceptionRisk,Age,25-34,3.562790697674419,3.909090909090909,3.8333333333333335,3.78,3.6666666666666665,3.161764705882353,3.3230769230769233,3.046875,2.576923076923077,2.358490566037736,3.0784313725490198,3.56
2,All states,PerceptionRisk,Age,35-44,3.8013698630136985,4.010416666666667,3.967741935483871,4.042105263157895,4.072289156626506,3.513888888888889,3.46875,3.217391304347826,3.156862745098039,3.19672131147541,3.609375,3.375
3,All states,PerceptionRisk,Age,45-54,3.6573426573426575,3.827272727272727,3.6545454545454548,3.871559633027523,3.9029126213592233,3.597826086956522,3.247191011235955,3.0681818181818183,2.8674698795180724,2.96,3.2625,3.223684210526316
4,All states,PerceptionRisk,Age,55-64,3.4757281553398056,3.7572254335260116,3.437869822485207,3.619047619047619,3.7529411764705882,3.4,3.147286821705426,2.98,2.8740740740740742,2.7761194029850746,3.0676691729323307,3.376923076923077
5,All states,PerceptionRisk,Age,65+,3.652892561983471,3.772277227722772,3.6481481481481484,3.6526315789473682,3.752688172043011,3.2134831460674156,2.9740259740259742,2.746987951807229,2.526315789473684,2.72,3.108108108108108,3.28
6,All states,PerceptionRisk,Sex,Male,3.5368663594470044,3.6700680272108843,3.5864406779661016,3.6690140845070425,3.635658914728682,3.3151260504201683,3.081730769230769,2.8995433789954337,2.50253807106599,2.663265306122449,2.952127659574468,3.136125654450262
7,All states,PerceptionRisk,Sex,Female,3.738095238095238,4.029850746268656,3.7717041800643085,3.913738019169329,4.040816326530612,3.5310077519379846,3.3406113537117905,3.1098039215686275,3.0697674418604652,2.925581395348837,3.3946188340807173,3.5454545454545454
8,All states,PerceptionRisk,Sex,Other,3.0,2.0,2.0,3.0,2.0,1.5,6.0,2.0,2.0,2.0,,
9,All states,PerceptionRisk,Infected,Covid_yes,4.131578947368421,4.67741935483871,4.142857142857143,4.862068965517241,4.733333333333333,4.25,4.466666666666667,3.95,4.0,3.4285714285714284,4.411764705882353,4.142857142857143
10,All states,PerceptionRisk,Infected,Covid_no,3.606194690265487,3.7664233576642334,3.6205607476635513,3.7123809523809523,3.754166666666667,3.3113636363636365,3.1017811704834606,2.9166666666666665,2.6685082872928176,2.740437158469945,3.0801104972375692,3.2457627118644066
11,All states,PerceptionRisk,Infected,Covid_maybe,3.7903225806451615,4.288461538461538,4.021739130434782,3.9375,4.133333333333334,4.055555555555555,4.0,3.4594594594594597,3.4545454545454546,3.0588235294117645,3.6,4.0588235294117645
12,Pennsylvania,PerceptionRisk,Age,18-24,3.3333333333333335,4.333333333333333,4.333333333333333,4.0,4.5,5.0,2.5,3.6666666666666665,2.5,4.0,4.0,
13,Pennsylvania,PerceptionRisk,Age,25-34,3.3333333333333335,3.5,4.0,4.0,3.0,2.0,,,2.0,2.0,3.0,
14,Pennsylvania,PerceptionRisk,Age,35-44,4.7272727272727275,4.888888888888889,4.6,5.0,3.888888888888889,3.6666666666666665,4.0,3.125,3.2,3.4,3.5,3.6666666666666665
15,Pennsylvania,PerceptionRisk,Age,45-54,3.25,4.25,4.0,3.5,3.5,3.6666666666666665,4.25,3.6666666666666665,3.5,3.0,3.0,3.0
16,Pennsylvania,PerceptionRisk,Age,55-64,2.875,2.875,3.0,3.6,3.375,3.4285714285714284,2.8333333333333335,2.5,2.7142857142857144,2.0,3.3333333333333335,3.4
17,Pennsylvania,PerceptionRisk,Age,65+,3.6666666666666665,3.5,3.5,2.0,3.6666666666666665,3.0,5.0,,,,,
18,Pennsylvania,PerceptionRisk,Sex,Male,3.25,3.230769230769231,3.3846153846153846,3.5714285714285716,3.0714285714285716,2.923076923076923,3.111111111111111,2.8181818181818183,2.0,2.2857142857142856,2.6666666666666665,2.1666666666666665
19,Pennsylvania,PerceptionRisk,Sex,Female,4.1875,4.6,4.615384615384615,5.0,4.3076923076923075,4.111111111111111,4.0,3.272727272727273,3.875,3.5,4.5,4.8
20,Pennsylvania,PerceptionRisk,Sex,Other,,,,,,,,,,,,
21,Pennsylvania,PerceptionRisk,Infected,Covid_yes,2.0,4.0,5.0,4.0,4.0,1.0,,1.0,,,,
